date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua
2010-01-04,16.41856575012207,35.645320892333984,20.040000915527344,80.12000274658203,1132.989990234375,3.85,12.91
2010-01-05,16.8580265045166,35.936241149902344,19.350000381469727,80.58999633789062,1136.52001953125,3.77,12.52
2010-01-06,17.002107620239258,36.3665885925293,19.15999984741211,81.88999938964844,1137.1400146484375,3.85,12.22
2010-01-07,17.03813362121582,36.31202697753906,19.059999465942383,81.51000213623047,1141.68994140625,3.85,12.57
2010-01-08,17.18941879272461,36.54841232299805,18.1299991607666,81.37000274658203,1144.97998046875,3.83,12.82
2010-01-11,17.297489166259766,36.49993133544922,17.549999237060547,80.97000122070312,1146.97998046875,3.85,13.0
2010-01-12,16.778776168823242,35.97262191772461,18.25,79.30000305175781,1136.219970703125,3.74,12.71
2010-01-13,16.894044876098633,36.10597610473633,17.850000381469727,78.30999755859375,1145.6800537109375,3.8,12.94
2010-01-14,16.44017219543457,36.2089958190918,17.6299991607666,77.81999969482422,1148.4599609375,3.76,13.44
2010-01-15,16.007917404174805,35.918067932128906,17.90999984741211,77.11000061035156,1136.030029296875,3.7,13.23
2010-01-19,15.90705680847168,36.2453498840332,17.579999923706055,77.62999725341797,1150.22998046875,3.73,13.63
2010-01-20,15.273079872131348,35.68167495727539,18.68000030517578,76.31999969482422,1138.0400390625,3.68,13.21
2010-01-21,14.963298797607422,34.954345703125,22.270000457763672,74.58000183105469,1116.47998046875,3.62,13.07
2010-01-22,14.408563613891602,34.12397766113281,27.309999465942383,72.83000183105469,1091.760009765625,3.62,12.97
2010-01-25,14.588674545288086,34.34823226928711,25.40999984741211,73.69000244140625,1096.780029296875,3.66,13.28
2010-01-26,14.588674545288086,34.130043029785156,24.549999237060547,73.29000091552734,1092.1700439453125,3.65,13.46
2010-01-27,14.322113037109375,33.9966926574707,23.139999389648438,72.23999786376953,1097.5,3.66,13.25
2010-01-28,14.1996431350708,33.63909149169922,23.729999542236328,72.12999725341797,1084.530029296875,3.68,12.99
2010-01-29,13.861042022705078,33.03298568725586,24.6200008392334,71.45999908447266,1073.8699951171875,3.63,12.71
2010-02-01,14.314908981323242,34.12397766113281,22.59000015258789,73.11000061035156,1089.18994140625,3.68,12.57
2010-02-02,14.408563613891602,34.5724983215332,21.479999542236328,76.05999755859375,1103.3199462890625,3.67,12.59
2010-02-03,14.408563613891602,34.275516510009766,21.600000381469727,75.91999816894531,1097.280029296875,3.73,12.59
2010-02-04,13.551255226135254,32.86933135986328,26.079999923706055,72.12999725341797,1063.1099853515625,3.62,13.06
2010-02-05,13.601683616638184,32.875389099121094,26.110000610351562,69.58999633789062,1066.18994140625,3.59,13.11
2010-02-08,13.270291328430176,32.57233810424805,26.510000228881836,70.11000061035156,1056.739990234375,3.62,13.6
2010-02-09,13.659323692321777,33.257240295410156,26.0,72.12999725341797,1070.52001953125,3.67,13.41
2010-02-10,13.349539756774902,33.11784744262695,25.399999618530273,72.54000091552734,1068.1300048828125,3.72,13.12
2010-02-11,13.493619918823242,33.6815185546875,23.959999084472656,73.05000305175781,1078.469970703125,3.73,13.06
